title,original_air_date,directed_by,written_by,season,number_in_season,number_in_series,us_viewers_in_millions,imdb_rating
The Burns and the Bees,2008-12-07,Mark Kirkland,Stephanie Gillis,20,8,428,6.19,6.5
Lisa the Drama Queen,2009-01-25,Matthew Nastuk,Brian Kelley,20,9,429,5.75,6.0
"Take My Life, Please",2009-02-15,Steven Dean Moore,Don Payne,20,10,430,6.82,6.9
How the Test Was Won,2009-03-01,Lance Kramer,Michael Price,20,11,431,6.52,7.0
"No Loan Again, Naturally",2009-03-08,Mark Kirkland,Jeff Westbrook,20,12,432,5.99,6.8
Gone Maggie Gone,2009-03-15,Chris Clements,Billy Kimball & Ian Maxtone-Graham,20,13,433,5.99,7.2
In the Name of the Grandfather,2009-03-22,Ralph Sosa,Matt Marshall,20,14,434,6.15,6.3
Wedding for Disaster,2009-03-29,Chuck Sheetz,Joel H. Cohen,20,15,435,6.58,6.6
Eeny Teeny Maya Moe,2009-04-05,Nancy Kruse,John Frink,20,16,436,6.5,7.2
"The Good, the Sad and the Drugly",2009-04-19,Rob Oliver,Marc Wilmore,20,17,437,6.5,7.2
Father Knows Worst,2009-04-26,Matthew Nastuk,Rob LaZebnik,20,18,438,5.94,6.9
"Waverly Hills, 9-0-2-1-D'oh",2009-05-03,Mike Frank Polcino,J. Stewart Burns,20,19,439,6.75,7.1
Four Great Women and a Manicure,2009-05-10,Raymond S. Persi,Valentina L. Garza,20,20,440,5.16,6.4
Coming to Homerica,2009-05-17,Steven Dean Moore,Brendan Hay,20,21,441,5.86,7.3
Homer the Whopper,2009-09-27,Lance Kramer,Seth Rogen & Evan Goldberg,21,1,442,8.31,7.1
Bart Gets a 'Z',2009-10-04,Mark Kirkland,Matt Selman,21,2,443,9.32,6.6
The Great Wife Hope,2009-10-11,Matthew Faughnan,Carolyn Omine,21,3,444,7.5,6.3
Treehouse of Horror XX,2009-10-18,Mike B. Anderson & Matthew Schofield,Daniel Chun,21,4,445,8.59,7.3
The Devil Wears Nada,2009-11-15,Nancy Kruse,Tim Long,21,5,446,9.04,6.7
Pranks and Greens,2009-11-22,Chuck Sheetz,Jeff Westbrook,21,6,447,7.03,6.6
Rednecks and Broomsticks,2009-11-29,Bob Anderson & Rob Oliver,Kevin Curran,21,7,448,9.02,6.7
"O Brother, Where Bart Thou?",2009-12-13,Steven Dean Moore,Matt Selman,21,8,449,7.11,7.1
Thursdays with Abie,2010-01-03,Mike Frank Polcino,Don Payne & Mitchell H. Glazer,21,9,450,8.65,6.7
Once Upon a Time in Springfield,2010-01-10,Matthew Nastuk,Stephanie Gillis,21,10,451,14.62,6.5
Million Dollar Maybe,2010-01-31,Chris Clements,Bill Odenkirk,21,11,452,5.11,7.1
Boy Meets Curl,2010-02-14,Chuck Sheetz,Rob LaZebnik,21,12,453,5.87,6.8
The Color Yellow,2010-02-21,Raymond S. Persi,Billy Kimball & Ian Maxtone-Graham,21,13,454,6.08,6.6
Postcards from the Wedge,2010-03-14,Mark Kirkland,Brian Kelley,21,14,455,5.23,7.0
Stealing First Base,2010-03-21,Steven Dean Moore,John Frink,21,15,456,5.69,7.0
The Greatest Story Ever D'ohed,2010-03-28,Mike Frank Polcino,Kevin Curran,21,16,457,5.69,5.7
American History X-cellent,2010-04-11,Bob Anderson,Michael Price,21,17,458,5.65,6.5
Chief of Hearts,2010-04-18,Chris Clements,Carolyn Omine & William Wright,21,18,459,5.93,6.8
The Squirt and the Whale,2010-04-25,Lance Kramer,Matt Warburton,21,19,460,5.94,6.8
To Surveil with Love,2010-05-02,Mark Kirkland,Michael Nobori,21,20,461,6.06,7.1
Moe Letter Blues,2010-05-09,Matthew Nastuk,Stephanie Gillis,21,21,462,5.66,7.0
The Bob Next Door,2010-05-16,Nancy Kruse,John Frink,21,22,463,6.26,7.3
Judge Me Tender,2010-05-23,Steven Dean Moore,Dan Greaney & Allen Glazier,21,23,464,5.74,6.5
Elementary School Musical,2010-09-26,Mark Kirkland,Tim Long,22,1,465,7.75,6.2
Loan-a Lisa,2010-10-03,Matthew Faughnan,Valentina L. Garza,22,2,466,8.59,6.7
MoneyBart,2010-10-10,Nancy Kruse,Tim Long,22,3,467,6.72,6.7
Treehouse of Horror XXI,2010-11-07,Bob Anderson,Joel H. Cohen,22,4,468,8.19,7.1
"Lisa Simpson, This Isn't Your Life",2010-11-14,Matthew Nastuk,Joel H. Cohen,22,5,469,8.97,7.2
The Fool Monty,2010-11-21,Steven Dean Moore,Michael Price,22,6,470,6.58,6.4
How Munched Is That Birdie in the Window?,2010-11-28,Mike Frank Polcino,Kevin Curran,22,7,471,9.38,6.3
The Fight Before Christmas,2010-12-05,Bob Anderson & Matthew Schofield,Deb Lacusta & Dan Castellaneta,22,8,472,9.54,6.7
Donnie Fatso,2010-12-12,Ralph Sosa,Chris Cluess,22,9,473,7.18,7.0
Moms I'd Like to Forget,2011-01-09,Chris Clements,Brian Kelley,22,10,474,12.6,6.3
Flaming Moe,2011-01-16,Chuck Sheetz,Matt Selman,22,11,475,6.47,6.7
Homer the Father,2011-01-23,Mark Kirkland,Joel H. Cohen,22,12,476,6.5,6.9
The Blue and the Gray,2011-02-13,Bob Anderson,Rob LaZebnik,22,13,477,5.61,6.7
Angry Dad: The Movie,2011-02-20,Matthew Nastuk,John Frink,22,14,478,6.35,7.2
The Scorpion's Tale,2011-03-06,Matthew Schofield,Billy Kimball & Ian Maxtone-Graham,22,15,479,6.2,6.6
A Midsummer's Nice Dream,2011-03-13,Steven Dean Moore,Deb Lacusta & Dan Castellaneta,22,16,480,5.44,6.0
Love Is a Many Strangled Thing,2011-03-27,Mike Frank Polcino,Bill Odenkirk,22,17,481,6.14,6.2
The Great Simpsina,2011-04-10,Chris Clements,Matt Warburton,22,18,482,5.0,6.8
The Real Housewives of Fat Tony,2011-05-01,Lance Kramer,Dick Blasucci,22,19,483,6.1,6.5
Homer Scissorhands,2011-05-08,Mark Kirkland,Peter Gaffney & Steve Viksten,22,20,484,5.48,7.1
500 Keys,2011-05-15,Bob Anderson,John Frink,22,21,485,6.0,7.3
The Ned-Liest Catch,2011-05-22,Chuck Sheetz,Jeff Westbrook,22,22,486,5.25,7.0
The Falcon and the D'ohman,2011-09-25,Matthew Nastuk,Justin Hurwitz,23,1,487,8.08,7.1
Bart Stops to Smell the Roosevelts,2011-10-02,Steven Dean Moore,Tim Long,23,2,488,6.19,7.0
Treehouse of Horror XXII,2011-10-30,Matthew Faughnan,Carolyn Omine,23,3,489,8.1,6.4
Replaceable You,2011-11-06,Mark Kirkland,Stephanie Gillis,23,4,490,7.97,6.4
The Food Wife,2011-11-13,Timothy Bailey,Matt Selman,23,5,491,7.5,7.1
The Book Job,2011-11-20,Bob Anderson,Dan Vebber,23,6,492,5.77,7.9
The Man in the Blue Flannel Pants,2011-11-27,Steven Dean Moore,Jeff Westbrook,23,7,493,5.61,6.6
The Ten-Per-Cent Solution,2011-12-04,Mike Frank Polcino,Deb Lacusta & Dan Castellaneta,23,8,494,9.01,6.1
Holidays of Future Passed,2011-12-11,Rob Oliver,J. Stewart Burns,23,9,495,6.43,8.3
"Politically Inept, with Homer Simpson",2012-01-08,Mark Kirkland,John Frink,23,10,496,5.07,6.0
The D'oh-cial Network,2012-01-15,Chris Clements,J. Stewart Burns,23,11,497,11.48,6.9
Moe Goes from Rags to Riches,2012-01-29,Bob Anderson,Tim Long,23,12,498,5.12,5.8
The Daughter Also Rises,2012-02-12,Chuck Sheetz,Rob LaZebnik,23,13,499,4.26,6.3
At Long Last Leave,2012-02-19,Matthew Nastuk,Michael Price,23,14,500,5.77,6.9
Exit Through the Kwik-E-Mart,2012-03-04,Steven Dean Moore,Marc Wilmore,23,15,501,5.09,6.8
How I Wet Your Mother,2012-03-11,Lance Kramer,Billy Kimball & Ian Maxtone-Graham,23,16,502,4.97,7.2
"Them, Robot",2012-03-18,Mike Frank Polcino,Michael Price,23,17,503,5.25,6.9
Beware My Cheating Bart,2012-04-15,Mark Kirkland,Ben Joseph,23,18,504,4.86,7.1
A Totally Fun Thing That Bart Will Never Do Again,2012-04-29,Chris Clements,Matt Warburton,23,19,505,5.0,7.6
The Spy Who Learned Me,2012-05-06,Bob Anderson,Marc Wilmore,23,20,506,4.84,6.8
Ned 'n' Edna's Blend Agenda,2012-05-13,Chuck Sheetz,Jeff Westbrook,23,21,507,4.07,6.6
Lisa Goes Gaga,2012-05-20,Matthew Schofield,Tim Long,23,22,508,4.82,4.0
Moonshine River,2012-09-30,Bob Anderson,Tim Long,24,1,509,8.08,6.3
Treehouse of Horror XXIII,2012-10-07,Steven Dean Moore,David Mandel & Brian Kelley,24,2,510,6.57,7.2
Adventures in Baby-Getting,2012-11-04,Rob Oliver,Bill Odenkirk,24,3,511,5.65,6.8
Gone Abie Gone,2012-11-11,Matthew Nastuk,Joel H. Cohen,24,4,512,6.86,6.7
Penny-Wiseguys,2012-11-18,Mark Kirkland,Michael Price,24,5,513,5.06,6.3
A Tree Grows in Springfield,2012-11-25,Timothy Bailey,Stephanie Gillis,24,6,514,7.46,6.3
The Day the Earth Stood Cool,2012-12-09,Matthew Faughnan,Matt Selman,24,7,515,7.44,6.9
To Cur with Love,2012-12-16,Steven Dean Moore,Carolyn Omine,24,8,516,3.77,7.2
Homer Goes to Prep School,2013-01-06,Mark Kirkland,Brian Kelley,24,9,517,8.97,6.7
A Test Before Trying,2013-01-13,Chris Clements,Joel H. Cohen,24,10,518,5.04,6.9
The Changing of the Guardian,2013-01-27,Bob Anderson,Rob LaZebnik,24,11,519,5.23,6.4
Love Is a Many-Splintered Thing,2013-02-10,Mike Frank Polcino,Tim Long,24,12,520,4.19,6.2
Hardly Kirk-ing,2013-02-17,Matthew Nastuk,Tom Gammill & Max Pross,24,13,521,4.57,7.0
Gorgeous Grampa,2013-03-03,Chuck Sheetz,Matt Selman,24,14,522,4.66,6.2
"Black Eyed, Please",2013-03-10,Matthew Schofield,John Frink,24,15,523,4.85,6.9
Dark Knight Court,2013-03-17,Mark Kirkland,Billy Kimball & Ian Maxtone-Graham,24,16,524,4.89,7.1
What Animated Women Want,2013-04-14,Steven Dean Moore,J. Stewart Burns,24,17,525,4.11,6.4
Pulpit Friction,2013-04-28,Chris Clements,Bill Odenkirk,24,18,526,4.54,6.4
Whiskey Business,2013-05-05,Matthew Nastuk,Valentina L. Garza,24,19,527,4.43,6.7
The Fabulous Faker Boy,2013-05-12,Bob Anderson,Brian McConnachie,24,20,528,4.16,6.2
The Saga of Carl,2013-05-19,Chuck Sheetz,Eric Kaplan,24,21,529,4.01,7.0
Dangers on a Train,2013-05-19,Steven Dean Moore,Michael Price,24,22,530,4.52,7.0
Homerland,2013-09-29,Bob Anderson,Stephanie Gillis,25,1,531,6.37,6.9
Treehouse of Horror XXIV,2013-10-06,Rob Oliver,Jeff Westbrook,25,2,532,6.42,6.9
Four Regrettings and a Funeral,2013-11-03,Mark Kirkland,Marc Wilmore,25,3,533,5.43,6.4
YOLO,2013-11-10,Mike Frank Polcino,Michael Nobori,25,4,534,4.2,6.5
Labor Pains,2013-11-17,Matthew Faughnan,Don Payne & Mitchell H. Glazer,25,5,535,4.08,6.8
The Kid Is All Right,2013-11-24,Mark Kirkland,Tim Long,25,6,536,6.78,6.4
Yellow Subterfuge,2013-12-08,Bob Anderson,Joel H. Cohen,25,7,537,6.85,6.7
White Christmas Blues,2013-12-15,Steven Dean Moore,Don Payne,25,8,538,8.48,6.4
Steal This Episode,2014-01-05,Matthew Nastuk,J. Stewart Burns,25,9,539,12.04,7.7
Married to the Blob,2014-01-12,Chris Clements,Tim Long,25,10,540,4.83,6.9
Specs and the City,2014-01-26,Lance Kramer,Brian Kelley,25,11,541,3.87,7.1
Diggs,2014-03-09,Mike Frank Polcino,Dan Greaney & Allen Glazier,25,12,542,2.69,6.3
The Man Who Grew Too Much,2014-03-09,Matthew Schofield,Jeff Westbrook,25,13,543,3.75,6.6
The Winter of His Content,2014-03-16,Chuck Sheetz,Kevin Curran,25,14,544,4.02,6.6
The War of Art,2014-03-23,Steven Dean Moore,Rob LaZebnik,25,15,545,3.98,6.9
You Don't Have to Live Like a Referee,2014-03-30,Mark Kirkland,Michael Price,25,16,546,3.91,6.7
Luca$,2014-04-06,Chris Clements,Carolyn Omine,25,17,547,4.3,6.3
Days of Future Future,2014-04-13,Bob Anderson,J. Stewart Burns,25,18,548,3.64,7.0
What to Expect When Bart's Expecting,2014-04-27,Matthew Nastuk,John Frink,25,19,549,3.45,5.8
Brick Like Me,2014-05-04,Matthew Nastuk,Brian Kelley,25,20,550,4.39,7.9
Pay Pal,2014-05-11,Mike Frank Polcino,David H. Steinberg,25,21,551,3.66,6.5
The Yellow Badge of Cowardge,2014-05-18,Timothy Bailey,Billy Kimball & Ian Maxtone-Graham,25,22,552,3.28,6.6
Clown in the Dumps,2014-09-28,Steven Dean Moore,Joel H. Cohen,26,1,553,8.53,5.7
The Wreck of the Relationship,2014-10-05,Chuck Sheetz,Jeff Westbrook,26,2,554,4.27,6.7
Super Franchise Me,2014-10-12,Mark Kirkland,Bill Odenkirk,26,3,555,7.33,6.4
Treehouse of Horror XXV,2014-10-19,Matthew Faughnan,Stephanie Gillis,26,4,556,7.76,7.4
Opposites A-Frack,2014-11-02,Matthew Nastuk,Valentina L. Garza,26,5,557,4.22,6.3
Simpsorama,2014-11-09,Bob Anderson,J. Stewart Burns,26,6,558,6.7,7.9
Blazed and Confused,2014-11-16,Rob Oliver,Carolyn Omine & William Wright,26,7,559,6.7,6.8
Covercraft,2014-11-23,Steven Dean Moore,Matt Selman,26,8,560,3.45,6.4
I Won't Be Home for Christmas,2014-12-07,Mark Kirkland,Al Jean,26,9,561,6.52,6.8
The Man Who Came to Be Dinner,2015-01-04,David Silverman,Al Jean & David Mirkin,26,10,562,10.62,6.6
Bart's New Friend,2015-01-11,Bob Anderson,Judd Apatow,26,11,563,4.28,7.1
The Musk Who Fell to Earth,2015-01-25,Matthew Nastuk,Neil Campbell,26,12,564,3.29,5.5
Walking Big & Tall,2015-02-08,Chris Clements,Michael Price,26,13,565,2.78,6.2
My Fare Lady,2015-02-15,Mike Frank Polcino,Marc Wilmore,26,14,566,2.67,6.5
The Princess Guide,2015-03-01,Timothy Bailey,Brian Kelley,26,15,567,3.93,6.4
Sky Police,2015-03-08,Rob Oliver,Matt Selman,26,16,568,3.79,6.7
Waiting for Duffman,2015-03-15,Steven Dean Moore,John Frink,26,17,569,3.59,6.6
Peeping Mom,2015-04-19,Mark Kirkland,John Frink,26,18,570,3.23,6.6
The Kids Are All Fight,2015-04-26,Bob Anderson,Rob LaZebnik,26,19,571,3.33,6.7
Let's Go Fly a Coot,2015-05-03,Chris Clements,Jeff Westbrook,26,20,572,3.12,6.0
Bull-E,2015-05-10,Lance Kramer,Tim Long,26,21,573,2.77,6.5
Mathlete's Feat,2015-05-17,Mike Frank Polcino,Michael Price,26,22,574,2.82,6.7
Every Man's Dream,2015-09-27,Matthew Nastuk,J. Stewart Burns,27,1,575,3.28,5.7
Cue Detective,2015-10-04,Timothy Bailey,Joel H. Cohen,27,2,576,6.02,6.5
Puffless,2015-10-11,Rob Oliver,J. Stewart Burns,27,3,577,3.31,6.9
Halloween of Horror,2015-10-18,Mike B. Anderson,Carolyn Omine,27,4,578,3.69,7.5
Treehouse of Horror XXVI,2015-10-25,Steven Dean Moore,Joel H. Cohen,27,5,579,6.75,6.5
Friend with Benefit,2015-11-08,Matthew Faughnan,Rob LaZebnik,27,6,580,3.48,6.6
Lisa with an 'S',2015-11-22,Bob Anderson,Stephanie Gillis,27,7,581,5.64,5.9
Paths of Glory,2015-12-06,Steven Dean Moore,Michael Ferris,27,8,582,5.53,6.7
Barthood,2015-12-13,Rob Oliver,Dan Greaney,27,9,583,5.97,8.4
The Girl Code,2016-01-03,Chris Clements,Rob LaZebnik,27,10,584,4.41,6.5
Teenage Mutant Milk-Caused Hurdles,2016-01-10,Timothy Bailey,Joel H. Cohen,27,11,585,8.33,6.5
Much Apu About Something,2016-01-17,Bob Anderson,Michael Price,27,12,586,3.95,6.5
Love Is in the N2-O2-Ar-CO2-Ne-He-CH4,2016-02-14,Mark Kirkland,John Frink,27,13,587,2.89,6.3
Gal of Constant Sorrow,2016-02-21,Matthew Nastuk,Carolyn Omine,27,14,588,3.1,6.4
Lisa the Veterinarian,2016-03-06,Steven Dean Moore,Dan Vebber,27,15,589,3.09,6.3
The Marge-ian Chronicles,2016-03-13,Chris Clements,Brian Kelley,27,16,590,3.07,7.0
The Burns Cage,2016-04-03,Rob Oliver,Rob LaZebnik,27,17,591,2.32,6.3
How Lisa Got Her Marge Back,2016-04-10,Bob Anderson,Jeff Martin,27,18,592,2.55,6.2
Fland Canyon,2016-04-24,Mike Frank Polcino,J. Stewart Burns,27,19,593,2.77,7.1
To Courier with Love,2016-05-08,Timothy Bailey,Bill Odenkirk,27,20,594,2.52,6.6
Simprovised,2016-05-15,Matthew Nastuk,John Frink,27,21,595,2.8,6.2
Orange Is the New Yellow,2016-05-22,Matthew Faughnan,Eric Horsted,27,22,596,2.54,6.6
Monty Burns' Fleeing Circus,2016-09-25,Matthew Nastuk,Tom Gammill & Max Pross,28,1,597,3.36,6.1
Friends and Family,2016-10-02,Lance Kramer,J. Stewart Burns,28,2,598,6.0,6.6
The Town,2016-10-09,Rob Oliver,Dave King,28,3,599,3.22,7.0
Treehouse of Horror XXVII,2016-10-16,Steven Dean Moore,Joel H. Cohen,28,4,600,7.44,6.8
Trust but Clarify,2016-10-23,Mike Frank Polcino,Harry Shearer,28,5,601,3.36,6.3
There Will Be Buds,2016-11-06,Matthew Faughnan,Matt Selman,28,6,602,3.14,6.6
Havana Wild Weekend,2016-11-13,Bob Anderson,"Deb Lacusta, Dan Castellaneta & Peter Tilden",28,7,603,7.13,6.2
Dad Behavior,2016-11-20,Steven Dean Moore,Ryan Koh,28,8,604,2.88,6.5
The Last Traction Hero,2016-12-04,Bob Anderson,Bill Odenkirk,28,9,605,5.77,6.3
The Nightmare After Krustmas,2016-12-11,Rob Oliver,Jeff Westbrook,28,10,606,5.6,5.9
Pork and Burns,2017-01-08,Matthew Nastuk,Rob LaZebnik,28,11,607,8.19,6.7
"The Great Phatsby"" (Vol. I & Vol. II) ",2017-01-15,Chris Clements,Dan GreaneyMatt Selman (part 2 only),28,12,608,6.9,6.1
Fatzcarraldo,2017-02-12,Mark Kirkland,Michael Price,28,14,610,2.4,6.3
The Cad and the Hat,2017-02-19,Steven Dean Moore,Ron Zimmerman,28,15,611,2.44,6.4
Kamp Krustier,2017-03-05,Rob Oliver,David M. Stern,28,16,612,2.56,6.5
22 for 30,2017-03-12,Chris Clements,Joel H. Cohen,28,17,613,2.61,6.5
A Father's Watch,2017-03-19,Bob Anderson,Simon Rich,28,18,614,2.4,6.7
The Caper Chase,2017-04-02,Lance Kramer,Jeff Westbrook,28,19,615,2.13,6.1
Looking for Mr. Goodbart,2017-04-30,Mike Frank Polcino,Carolyn Omine,28,20,616,2.3,6.8
Moho House,2017-05-07,Matthew Nastuk,Jeff Martin,28,21,617,2.34,6.1
Dogtown,2017-05-21,Steven Dean Moore,J. Stewart Burns,28,22,618,2.15,6.4
The Serfsons,2017-10-01,Rob Oliver,Brian Kelley,29,1,619,3.26,6.8
Springfield Splendor,2017-10-08,Matthew Faughnan,Tim Long & Miranda Thompson,29,2,620,5.25,6.6
Whistler's Father,2017-10-15,Matthew Faughnan,Tom Gammill & Max Pross,29,3,621,2.91,6.1
Treehouse of Horror XXVIII,2017-10-22,Timothy Bailey,John Frink,29,4,622,3.66,7.1
Grampy Can Ya Hear Me,2017-11-05,Bob Anderson,Bill Odenkirk,29,5,623,2.86,6.4
The Old Blue Mayor She Ain't What She Used to Be,2017-11-12,Matthew Nastuk,Tom Gammill & Max Pross,29,6,624,4.75,6.3
Singin' in the Lane,2017-11-19,Mike Frank Polcino,Ryan Koh,29,7,625,2.67,6.4
Mr. Lisa's Opus,2017-12-03,Steven Dean Moore,Al Jean,29,8,626,4.28,6.8
Gone Boy,2017-12-10,Rob Oliver,John Frink,29,9,627,6.06,7.2
Haw-Haw Land,2018-01-07,Bob Anderson,Tim Long & Miranda Thompson,29,10,628,6.95,6.5
Frink Gets Testy,2018-01-14,Chris Clements,Dan Vebber,29,11,629,8.04,6.2
Homer Is Where the Art Isn't,2018-03-18,Timothy Bailey,Kevin Curran,29,12,630,2.1,6.7
3 Scenes Plus a Tag from a Marriage,2018-03-25,Matthew Nastuk,Tom Gammill & Max Pross,29,13,631,2.15,6.6
Fears of a Clown,2018-04-01,Steven Dean Moore,Michael Price,29,14,632,2.06,6.0
No Good Read Goes Unpunished,2018-04-08,Mark Kirkland,Jeff Westbrook,29,15,633,2.15,6.3
King Leer,2018-04-15,Chris Clements,Daniel Furlong & Zach Posner,29,16,634,2.26,6.3
Lisa Gets the Blues,2018-04-22,Bob Anderson,David Silverman & Brian Kelley,29,17,635,2.19,6.7
Forgive and Regret,2018-04-29,Rob Oliver,Bill Odenkirk,29,18,636,2.47,7.0
Left Behind,2018-05-06,Lance Kramer,Story by : Al JeanTeleplay by : Joel H. Cohen & John Frink,29,19,637,2.15,6.6
Throw Grampa from the Dane,2018-05-13,Mike Frank Polcino,Rob LaZebnik,29,20,638,2.14,6.7
Flanders' Ladder,2018-05-20,Matthew Nastuk,J. Stewart Burns,29,21,639,2.1,7.6
Bart's Not Dead,2018-09-30,Bob Anderson,Stephanie Gillis,30,1,640,3.24,6.3
Heartbreak Hotel,2018-10-07,Steven Dean Moore,Renee Ridgeley & Matt Selman,30,2,641,4.6,6.1
My Way or the Highway to Heaven,2018-10-14,Rob Oliver,"Dan Castellaneta, Deb Lacusta & Vince Waldron",30,3,642,2.52,6.2
Treehouse of Horror XXIX,2018-10-21,Matthew Faughnan,Joel H. Cohen,30,4,643,2.95,6.0
Baby You Can't Drive My Car,2018-11-04,Timothy Bailey,Rob LaZebnik,30,5,644,5.08,7.0
From Russia Without Love,2018-11-11,Matthew Nastuk,Michael Ferris,30,6,645,2.35,6.5
Werking Mom,2018-11-18,Mike Frank Polcino,Carolyn Omine & Robin Sayers,30,7,646,4.34,5.8
Krusty the Clown,2018-11-25,Matthew Faughnan,Ryan Koh,30,8,647,2.11,6.5
Daddicus Finch,2018-12-02,Steven Dean Moore,Al Jean,30,9,648,4.33,6.8
'Tis the 30th Season,2018-12-09,Lance Kramer,Story by : Jeff WestbrookTeleplay by : John Frink & Joel H. Cohen,30,10,649,7.53,6.7
Mad About the Toy,2019-01-06,Rob Oliver,Michael Price,30,11,650,2.33,6.0
The Girl on the Bus,2019-01-13,Chris Clements,Joel H. Cohen,30,12,651,8.2,6.5
I'm Dancing as Fat as I Can,2019-02-10,Matthew Nastuk,Jane Becker,30,13,652,1.75,6.8
The Clown Stays in the Picture,2019-02-17,Timothy Bailey,Matt Selman,30,14,653,2.75,6.2
101 Mitigations,2019-03-03,Mark Kirkland,Story by : Rob LaZebnikTeleplay by : Brian Kelley & Dan Vebber,30,15,654,2.25,6.4
I Want You (She's So Heavy),2019-03-10,Steven Dean Moore,Jeff Westbrook,30,16,655,2.21,5.8
E My Sports,2019-03-17,Rob Oliver,Rob LaZebnik,30,17,656,2.08,6.4
Bart vs. Itchy & Scratchy,2019-03-24,Chris Clements,Megan Amram,30,18,657,1.99,5.0
Girl's in the Band,2019-03-31,Jennifer Moeller,Nancy Cartwright,30,19,658,2.07,6.4
I'm Just a Girl Who Can't Say D'oh,2019-04-07,Mike Frank Polcino,Jeff Martin & Jenna Martin,30,20,659,1.61,5.6
D'oh Canada,2019-04-28,Matthew Nastuk,Tim Long & Miranda Thompson,30,21,660,1.93,5.8
Woo-Hoo Dunnit?,2019-05-05,Steven Dean Moore,Brian Kelley,30,22,661,1.79,6.2
Crystal Blue-Haired Persuasion,2019-05-12,Matthew Faughnan,Megan Amram,30,23,662,1.5,6.1
The Winter of Our Monetized Content,2019-09-29,Bob Anderson,Ryan Koh,31,1,663,2.33,5.9
Go Big or Go Homer,2019-10-06,Matthew Faughnan,John Frink,31,2,664,5.63,6.0
The Fat Blue Line,2019-10-13,Mike Frank Polcino,Bill Odenkirk,31,3,665,2.13,6.5
Treehouse of Horror XXX,2019-10-20,Timothy Bailey,J. Stewart Burns,31,4,666,5.42,6.8
Gorillas on the Mast,2019-11-03,Matthew Nastuk,Max Cohn,31,5,667,2.02,6.2
Marge the Lumberjill,2019-11-10,Rob Oliver,Ryan Koh,31,6,668,5.0,5.6
Livin La Pura Vida,2019-11-17,Timothy Bailey,Brian Kelley,31,7,669,2.08,6.5
Thanksgiving of Horror,2019-11-24,Rob Oliver,Dan Vebber,31,8,670,5.42,7.3
"Todd, Todd, Why Hast Thou Forsaken Me?",2019-12-01,Chris Clements,Tim Long & Miranda Thompson,31,9,671,1.99,6.5
"Bobby, It's Cold Outside",2019-12-15,Steven Dean Moore,John Frink & Jeff Westbrook,31,10,672,4.97,6.5
Hail to the Teeth,2020-01-05,Mark Kirkland,Elisabeth Kiernan Averick,31,11,673,1.81,6.0
The Miseducation of Lisa Simpson,2020-02-16,Matthew Nastuk,J. Stewart Burns,31,12,674,1.95,6.5
Frinkcoin,2020-02-23,Steven Dean Moore,Rob LaZebnik,31,13,675,1.84,6.0
Bart the Bad Guy,2020-03-01,Jennifer Moeller,Dan Vebber,31,14,676,1.66,7.2
Screenless,2020-03-08,Mike Frank Polcino,J. Stewart Burns,31,15,677,1.63,6.5
Better Off Ned,2020-03-15,Rob Oliver,Story by : Al JeanTeleplay by : Joel H. Cohen & Jeff Westbrook,31,16,678,1.7,6.4
Highway to Well,2020-03-22,Chris Clements,Carolyn Omine,31,17,679,1.66,6.9
The Incredible Lightness of Being a Baby,2020-04-19,Bob Anderson,Tom Gammill & Max Pross,31,18,680,1.58,6.4
"Warrin' Priests"" (Parts One and Two) ",2020-04-26,Bob Anderson,Pete Holmes,31,19,681,1.35,6.1
The Hateful Eight-Year-Olds,2020-05-10,Jennifer Moeller,Joel H. Cohen,31,21,683,1.4,5.8
The Way of the Dog,2020-05-17,Matthew Faughnan,Carolyn Omine,31,22,684,1.89,6.5
Undercover Burns,2020-09-27,Bob Anderson,David Cryan,32,1,685,4.44,6.5
"I, Carumbus",2020-10-04,Rob Oliver,Cesar Mazariegos,32,2,686,1.51,6.8
"Now Museum, Now You Don't",2020-10-11,Timothy Bailey,Dan Greaney,32,3,687,1.36,5.8
Treehouse of Horror XXXI,2020-11-01,Steven Dean Moore,Julia Prescott,32,4,688,4.93,6.3
The 7 Beer Itch,2020-11-08,Mike Frank Polcino,Story by : Al JeanTeleplay by : Joel H. Cohen & John Frink,32,5,689,1.74,5.7
Podcast News,2020-11-15,Matthew Faughnan,David X. Cohen,32,6,690,3.5,6.7
Three Dreams Denied,2020-11-22,Steven Dean Moore,Danielle Weisberg,32,7,691,4.41,6.3
The Road to Cincinnati,2020-11-29,Matthew Nastuk,Jeff Westbrook,32,8,692,1.63,6.6
Sorry Not Sorry,2020-12-06,Rob Oliver,Nell Scovell,32,9,693,1.66,6.3
A Springfield Summer Christmas for Christmas,2020-12-13,Timothy Bailey,Jessica Conrad,32,10,694,3.92,6.3
The Dad-Feelings Limited,2021-01-03,Chris Clements,Ryan Koh,32,11,695,1.89,7.1
Diary Queen,2021-02-21,Matthew Nastuk,Jeff Westbrook,32,12,696,1.43,6.9
Wad Goals,2021-02-28,Mike Frank Polcino,Brian Kelley,32,13,697,1.24,6.3
Yokel Hero,2021-03-07,Rob Oliver,Jeff Martin & Samantha Martin,32,14,698,1.38,5.6
Do Pizza Bots Dream of Electric Guitars,2021-03-14,Jennifer Moeller,Michael Price,32,15,699,1.43,5.9
Manger Things,2021-03-21,Steven Dean Moore,Rob LaZebnik,32,16,700,1.28,6.4
